step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
1700,0.5532,0.067581,11.779537,0.000000,0.031748,4.665652,0.000000,0.173483,6.901448,0.000000
1720,0.5597,0.068423,11.901518,0.000000,0.032082,4.579010,0.000000,0.173572,6.999325,0.000000
1740,0.5662,0.068103,12.089434,0.000000,0.032621,4.672424,0.000000,0.173946,7.110546,0.000000
1760,0.5727,0.067775,12.230351,0.000000,0.032383,4.532314,0.000000,0.173616,7.180559,0.000000
1780,0.5792,0.067956,12.323295,0.000000,0.031564,4.642805,0.000000,0.173515,7.231162,0.000000
1800,0.5857,0.067623,12.441566,0.000000,0.032857,4.764659,0.000000,0.174130,7.278346,0.000000
1820,0.5922,0.067613,12.507727,0.000000,0.032987,4.801645,0.000000,0.175172,7.353906,0.000000
1840,0.5987,0.067638,12.619478,0.000000,0.031394,4.658617,0.000000,0.174931,7.460000,0.000000
1860,0.6052,0.068195,12.651265,0.000000,0.031328,4.576305,0.000000,0.175049,7.561696,0.000000
1880,0.6117,0.068041,12.712584,0.000000,0.031872,4.539409,0.000000,0.175975,7.640734,0.000000
1900,0.6182,0.067772,12.742682,0.000000,0.031954,4.597518,0.000000,0.176485,7.674118,0.000000
1920,0.6247,0.067126,12.824088,0.000000,0.031835,4.807416,0.000000,0.176706,7.726578,0.000000
1940,0.6313,0.068543,12.903148,0.000000,0.031899,4.812756,0.000000,0.177094,7.800101,0.000000
1960,0.6378,0.068924,12.956095,0.000000,0.032174,4.914628,0.000000,0.177006,7.948426,0.000000
1980,0.6443,0.068924,13.016269,0.000000,0.031998,4.820334,0.000000,0.177471,8.031816,0.000000
2000,0.6508,0.068515,13.087637,0.000000,0.032383,4.833895,0.000000,0.178410,8.058147,0.000000
2020,0.6573,0.068928,13.173816,0.000000,0.033118,4.771939,0.000000,0.178680,8.098372,0.000000
2040,0.6638,0.068640,13.270057,0.000000,0.032986,4.580321,0.000000,0.179034,8.171133,0.000000
2060,0.6703,0.067807,13.408439,0.000000,0.032113,4.526724,0.000000,0.179199,8.278370,0.000000
2080,0.6768,0.067801,13.436083,0.000000,0.031831,4.525949,0.000000,0.179425,8.305878,0.000000
2100,0.6833,0.068443,13.533893,0.000000,0.031588,4.507198,0.000000,0.179556,8.286286,0.000000
2120,0.6898,0.068815,13.629104,0.000000,0.032380,4.407640,0.000000,0.180037,8.382568,0.000000
2140,0.6963,0.068796,13.741036,0.000000,0.032895,4.434441,0.000000,0.179955,8.464293,0.000000
2160,0.7028,0.069375,13.807806,0.000000,0.033077,4.571257,0.000000,0.180290,8.549718,0.000000
2180,0.7093,0.070077,13.951232,0.000000,0.032456,4.790033,0.000000,0.180640,8.640271,0.000000
2200,0.7159,0.068296,13.954739,0.000000,0.032290,4.732947,0.000000,0.180456,8.675055,0.000000
2220,0.7224,0.068644,14.034319,0.000000,0.032188,4.729209,0.000000,0.180402,8.693449,0.000000
2240,0.7289,0.069685,14.124027,0.000000,0.032324,4.870640,0.000000,0.180647,8.740858,0.000000
2260,0.7354,0.068612,14.208888,0.000000,0.031571,4.931427,0.000000,0.180604,8.745226,0.000000
2280,0.7419,0.068368,14.271465,0.000000,0.032082,4.863173,0.000000,0.180181,8.807712,0.000000
