step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
174,0.0566,0.024547,0.669157,0.000000,0.024812,0.530176,0.000000,0.475105,5.687537,0.000000
175,0.0569,0.024642,0.671984,0.000000,0.024914,0.530531,0.000000,0.476687,5.700654,0.000000
176,0.0573,0.024754,0.674608,0.000000,0.025028,0.531222,0.000000,0.478208,5.712526,0.000000
177,0.0576,0.024867,0.676958,0.000000,0.025153,0.534069,0.000000,0.479806,5.723033,0.000000
178,0.0579,0.024976,0.679071,0.000000,0.025297,0.537343,0.000000,0.481500,5.734159,0.000000
179,0.0582,0.025079,0.680948,0.000000,0.025426,0.542145,0.000000,0.483242,5.745207,0.000000
180,0.0586,0.025182,0.682626,0.000000,0.025552,0.546298,0.000000,0.485003,5.754451,0.000000
181,0.0589,0.025279,0.684134,0.000000,0.025680,0.551499,0.000000,0.486746,5.762741,0.000000
182,0.0592,0.025368,0.685489,0.000000,0.025804,0.556771,0.000000,0.488398,5.765507,0.000000
183,0.0595,0.025444,0.686707,0.000000,0.025916,0.561521,0.000000,0.489985,5.765135,0.000000
184,0.0599,0.025525,0.687799,0.000000,0.026025,0.565777,0.000000,0.491547,5.758108,0.000000
185,0.0602,0.025608,0.688777,0.000000,0.026131,0.569816,0.000000,0.493083,5.755745,0.000000
186,0.0605,0.025685,0.689654,0.000000,0.026222,0.573447,0.000000,0.494551,5.760867,0.000000
187,0.0608,0.025752,0.690439,0.000000,0.026300,0.577371,0.000000,0.495925,5.774512,0.000000
188,0.0612,0.025809,0.691139,0.000000,0.026376,0.579984,0.000000,0.497227,5.794980,0.000000
189,0.0615,0.025863,0.691763,0.000000,0.026452,0.582738,0.000000,0.498443,5.817848,0.000000
190,0.0618,0.025914,0.692321,0.000000,0.026520,0.585519,0.000000,0.499597,5.842875,0.000000
191,0.0621,0.025964,0.692817,0.000000,0.026584,0.589223,0.000000,0.500684,5.864484,0.000000
192,0.0625,0.026014,0.693258,0.000000,0.026646,0.591301,0.000000,0.501690,5.885352,0.000000
193,0.0628,0.026068,0.693651,0.000000,0.026701,0.591713,0.000000,0.502637,5.903947,0.000000
194,0.0631,0.026122,0.693980,0.000000,0.026781,0.591893,0.000000,0.503498,5.922904,0.000000
195,0.0635,0.026172,0.694269,0.000000,0.026859,0.593689,0.000000,0.504338,5.944553,0.000000
196,0.0638,0.026227,0.694526,0.000000,0.026935,0.593432,0.000000,0.505140,5.963849,0.000000
197,0.0641,0.026283,0.694761,0.000000,0.026988,0.591582,0.000000,0.505940,5.981369,0.000000
198,0.0644,0.026343,0.694961,0.000000,0.027041,0.590738,0.000000,0.506775,5.997828,0.000000
199,0.0648,0.026407,0.695148,0.000000,0.027087,0.589636,0.000000,0.507624,6.012363,0.000000
200,0.0651,0.026470,0.695323,0.000000,0.027130,0.588213,0.000000,0.508474,6.025269,0.000000
201,0.0654,0.026532,0.695458,0.000000,0.027175,0.586384,0.000000,0.509319,6.038953,0.000000
202,0.0657,0.026600,0.695578,0.000000,0.027211,0.584425,0.000000,0.510142,6.051446,0.000000
203,0.0661,0.026667,0.695678,0.000000,0.027253,0.583112,0.000000,0.510971,6.063131,0.000000
204,0.0664,0.026723,0.695763,0.000000,0.027302,0.582563,0.000000,0.511766,6.076865,0.000000
205,0.0667,0.026773,0.695832,0.000000,0.027354,0.581919,0.000000,0.512545,6.090096,0.000000
206,0.067,0.026815,0.695889,0.000000,0.027407,0.580234,0.000000,0.513284,6.101871,0.000000
207,0.0674,0.026867,0.695933,0.000000,0.027457,0.578158,0.000000,0.514017,6.112392,0.000000
208,0.0677,0.026921,0.695965,0.000000,0.027518,0.577411,0.000000,0.514721,6.123507,0.000000
209,0.068,0.026977,0.695984,0.000000,0.027572,0.574511,0.000000,0.515393,6.134828,0.000000
210,0.0683,0.027030,0.695993,0.000000,0.027629,0.571837,0.000000,0.516042,6.148123,0.000000
211,0.0687,0.027075,0.695994,0.000000,0.027680,0.569092,0.000000,0.516644,6.159431,0.000000
212,0.069,0.027118,0.695987,0.000000,0.027740,0.567526,0.000000,0.517207,6.178249,0.000000
213,0.0693,0.027173,0.695978,0.000000,0.027801,0.567709,0.000000,0.517682,6.194586,0.000000
214,0.0696,0.027222,0.695962,0.000000,0.027857,0.568808,0.000000,0.518158,6.196918,0.000000
215,0.07,0.027268,0.695940,0.000000,0.027911,0.569848,0.000000,0.518655,6.200685,0.000000
216,0.0703,0.027320,0.695912,0.000000,0.027951,0.570130,0.000000,0.519115,6.200384,0.000000
217,0.0706,0.027373,0.695878,0.000000,0.027993,0.569973,0.000000,0.519578,6.199660,0.000000
218,0.0709,0.027423,0.695840,0.000000,0.028037,0.569956,0.000000,0.520050,6.196505,0.000000
219,0.0713,0.027479,0.695800,0.000000,0.028071,0.570170,0.000000,0.520508,6.191631,0.000000
220,0.0716,0.027542,0.695758,0.000000,0.028102,0.571671,0.000000,0.520976,6.191667,0.000000
221,0.0719,0.027603,0.695713,0.000000,0.028137,0.573369,0.000000,0.521462,6.192876,0.000000
222,0.0722,0.027665,0.695666,0.000000,0.028169,0.574065,0.000000,0.521939,6.194530,0.000000
223,0.0726,0.027727,0.695618,0.000000,0.028202,0.573493,0.000000,0.522400,6.196032,0.000000
224,0.0729,0.027790,0.695567,0.000000,0.028227,0.570997,0.000000,0.522850,6.197747,0.000000
225,0.0732,0.027866,0.695511,0.000000,0.028233,0.569349,0.000000,0.523269,6.199722,0.000000
226,0.0735,0.027940,0.695457,0.000000,0.028237,0.568378,0.000000,0.523694,6.202155,0.000000
227,0.0739,0.028014,0.695398,0.000000,0.028250,0.566675,0.000000,0.524155,6.206694,0.000000
228,0.0742,0.028081,0.695433,0.000000,0.028259,0.564530,0.000000,0.524566,6.210546,0.000000
229,0.0745,0.028140,0.695457,0.000000,0.028268,0.562269,0.000000,0.525007,6.213825,0.000000
230,0.0748,0.028193,0.695474,0.000000,0.028276,0.561010,0.000000,0.525523,6.214883,0.000000
231,0.0752,0.028238,0.695482,0.000000,0.028288,0.559751,0.000000,0.526079,6.216256,0.000000
232,0.0755,0.028281,0.695483,0.000000,0.028318,0.559578,0.000000,0.526651,6.219005,0.000000
233,0.0758,0.028332,0.695477,0.000000,0.028347,0.559438,0.000000,0.527277,6.221992,0.000000
234,0.0761,0.028395,0.695476,0.000000,0.028389,0.559591,0.000000,0.527984,6.224328,0.000000
235,0.0765,0.028473,0.695489,0.000000,0.028433,0.558910,0.000000,0.528799,6.230149,0.000000
236,0.0768,0.028552,0.695492,0.000000,0.028475,0.557058,0.000000,0.529632,6.234191,0.000000
237,0.0771,0.028617,0.695489,0.000000,0.028512,0.555610,0.000000,0.530394,6.301900,0.000000
238,0.0774,0.028682,0.695472,0.000000,0.028556,0.554639,0.000000,0.531160,6.361750,0.000000
239,0.0778,0.028736,0.695453,0.000000,0.028591,0.553431,0.000000,0.531835,6.407955,0.000000
240,0.0781,0.028793,0.695428,0.000000,0.028627,0.552517,0.000000,0.532520,6.457738,0.000000
241,0.0784,0.028849,0.695391,0.000000,0.028665,0.552934,0.000000,0.533220,6.501841,0.000000
242,0.0787,0.028903,0.695351,0.000000,0.028704,0.554774,0.000000,0.533947,6.544215,0.000000
243,0.0791,0.028958,0.695308,0.000000,0.028742,0.558407,0.000000,0.534629,6.587676,0.000000
244,0.0794,0.029007,0.695259,0.000000,0.028797,0.563244,0.000000,0.535341,6.609063,0.000000
